"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Cited by","DOI","Link","Affiliations","Authors with affiliations","Abstract","Author Keywords","Index Keywords","Correspondence Address","Editors","Publisher","ISSN","ISBN","CODEN","PubMed ID","Language of Original Document","Abbreviated Source Title","Document Type","Publication Stage","Open Access","Source","EID"
"Martin C.","Martin, Caroline (55792320700)","55792320700","Digital transformation promotes gains in operational efficiency and sustainability; [TRANSFORMAÇÃO DIGITAL PROMOVE GANHOS EM EFICIÊNCIA OPERACIONAL E SUSTENTABILIDADE]","2024","O Papel","85","6","","48","56","0","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85199212061&partnerID=40&md5=48b74326e67794a042872ba1aeb44ea2","O Papel, Brazil","Martin C., O Papel, Brazil","[No abstract available]","","","","","Assoc. Tecnica Brasileira de Celulose e Papel","00311057","","PAPLA","","Portuguese","O Papel","Article","Final","","Scopus","2-s2.0-85199212061"
"Lima L.G.D.; Bergold A.W.D.B.","Lima, Luís Gomes de (59974092200); Bergold, Arthur William de Brito (59974092300)","59974092200; 59974092300","The physics of an air disaster; [A física de um desastre aéreo]","2025","Revista Brasileira de Ensino de Fisica","47","","e20240388","","","0","10.1590/1806-9126-RBEF-2024-0388","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105009755386&doi=10.1590%2F1806-9126-RBEF-2024-0388&partnerID=40&md5=05ad94f5be08d4d03f74af173373c3bc","Universidade Federal do Paraná, Departamento de Educação, Ensino e Ciências, PR, Palotina, 85950-000, Brazil; Universidade Federal do Paraná, Departamento de Engenharia e Exatas, PR, Palotina, Brazil","Lima L.G.D., Universidade Federal do Paraná, Departamento de Educação, Ensino e Ciências, PR, Palotina, 85950-000, Brazil; Bergold A.W.D.B., Universidade Federal do Paraná, Departamento de Engenharia e Exatas, PR, Palotina, Brazil","This paper seeks to physically describe some of the probable causes of the tragedy of Voepass flight 2283, which killed 62 people on August 9, 2024. Two crucial points may have contributed to the disaster: 1) formation of ice in the atmosphere; 2) the wing design may not be so favorable to ice accumulation. Given these points, we propose a theoretical analysis of the aerodynamic behavior of the aircraft under normal conditions (laminar flow), under abnormal conditions (turbulent flow), and the transition from the laminar regime to the turbulent regime. In this context, we consider six categories for analysis that describe all moments of the flight: i) takeoff; ii) climb; iii) cruise flight; iv) degraded flight; v) lateral swing due to autorotation; and; vi) aircraft crash. From the flight data available, we quantitatively analyze the behavior of the aerodynamic forces throughout the fall and the stall state that the turboprop aircraft entered. It is concluded that the set of adverse conditions caused the aircraft to enter the stall state and fall, rotating around its axis. The physical description presented helps to expand discussions on aircraft navigation by proposing prophylactic measures to avoid stalls. © (2025), (Sociedade Brasileira de Fisica). All rights reserved.","Aerodinâmica; Aerodynamic forces; Aerodynamics; Estado de estol; Forças aerodinâmicas; Stall state; Sustainability in the air; Sustentabilidade no ar","","L.G.D. Lima; Universidade Federal do Paraná, Departamento de Educação, Palotina, Ensino e Ciências, PR, 85950-000, Brazil; email: luislima@ufpr.br","","Sociedade Brasileira de Fisica","01024744","","","","English","Rev. Bras. Ensino Fis.","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-105009755386"
"de Moraes B.R.","de Moraes, Bruno Rodrigues (58315762300)","58315762300","Innovation, digital transformation and sustainability in industry; [INOVAÇÃO, TRANSFORMAÇÃO DIGITAL E SUSTENTABILIDADE NA INDÚSTRIA]","2022","O Papel","83","9","","33","","0","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85163854868&partnerID=40&md5=097305854bc5068a354b345e50b06b49","Projeto Falconi, Brazil","de Moraes B.R., Projeto Falconi, Brazil","A sustentabilidade é crítica dentro da indústria de papel e celulose. Com uma demanda cada vez maior por soluções que estejam alinhadas com os interesses de todos os stakeholders, o setor passou por mudanças importantes nos últimos 20 anos. Em grande parte, conseguiu desassociar sua imagem de produção poluente, química e pouco adepta aos cuidados de meio ambiente, para um mercado atento ao mundo que o cerca e promotor de boas práticas","","Digital transformation; Promotor","","","Assoc. Tecnica Brasileira de Celulose e Papel","00311057","","PAPLA","","Portuguese","O Papel","Article","Final","","Scopus","2-s2.0-85163854868"
"De Carli A.M.S.; Martins S.B.","De Carli, Ana Mery Sehbe (60415652700); Martins, Suzana Barreto (55189771400)","60415652700; 55189771400","Dossier Edition - July/2023: Fashion, Sustainability and Inclusion Dossier; [Edição Dossiê — Julho/2023: Dossiê Moda, Sustentabilidade e Inclusão]","2023","Modapalavra e-periódico","16","40","","4","15","0","10.5965/1982615x16402023004","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105031067668&doi=10.5965%2F1982615x16402023004&partnerID=40&md5=2a12e7aaace23c5b3614f904253d20ca","Universidade de Caxias do Sul, Brazil; Universidade Estadual de Londrina, Brazil","De Carli A.M.S., Universidade de Caxias do Sul, Brazil; Martins S.B., Universidade Estadual de Londrina, Brazil","[No abstract available]","","","","","State University of Santa Catarina","1982615X","","","","English","Modapalavra e-periódico","Editorial","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-105031067668"
"de França G.E.; de Fátima Nunes Silva H.; Mendonça A.T.B.B.","de França, Geovana Ezequieli (58956534700); de Fátima Nunes Silva, Helena (55904489600); Mendonça, Andrea Torres Barros Batinga (57612137600)","58956534700; 55904489600; 57612137600","Sustainability in the age of information and knowledge: a systematic review; [A sustentabilidade na era da informação e do conhecimento: uma revisão sistemática da literatura]","2024","Revista Digital de Biblioteconomia e Ciencia da Informacao","22","","e024005","","","3","10.20396/rdbci.v22i00.8674223","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85208692408&doi=10.20396%2Frdbci.v22i00.8674223&partnerID=40&md5=edd07bfd49ef037b726b85d5992a98d8","Universidade Federal do Paraná, PR, Brazil","de França G.E., Universidade Federal do Paraná, PR, Brazil; de Fátima Nunes Silva H., Universidade Federal do Paraná, PR, Brazil; Mendonça A.T.B.B., Universidade Federal do Paraná, PR, Brazil","Introduction: Debates on sustainability, Information and knowledge Management have been held in different contexts - social, economic, academic and governmental. Sustainability is seen as key to keeping the environment balanced and with available resources. From this, organizations are required by customers, investors and society to adopt good practices, in this context information and knowledge are seen as indispensable resources in efficient and effective management. Objective: This article is to investigate how academic research is discussing Sustainability in the fields of Information and Knowledge Management. Methodology: The Scopus and Web of Science databases were selected to establish the corpus of the systematic literature review. To this end, the PRISMA method was applied, with inclusion criteria being only articles published in periodicals, written in Portuguese or English and that discussed Information and Knowledge Management and Sustainability. This process resulted in 18 articles to be examined based on content analysis. Results: It was identified that research focuses on areas of civil construction and large industries in countries such as China, India, Pakistan and the United Kingdom and that information and knowledge management are seen as tools in the search for sustainability. Conclusion: The different notions of intentionality identified contribute to visualizing the attribution of values by subjects in a social and institutional context, something that helps to observe the dimensions of materiality of objects. © 2024 Universidade Estadual de Campinas UNICAMP. All rights reserved.","Information; Knowledge; Sustainability; Systematic review","","G.E. de França; Universidade Federal do Paraná, PR, Brazil; email: geovana.ezequieli@hotmail.com; H. de Fátima Nunes Silva; Universidade Federal do Paraná, PR, Brazil; email: helenanuness@gmail.com; A.T.B.B. Mendonça; Universidade Federal do Paraná, PR, Brazil; email: andrea.tbbm@gmail.com","","Universidade Estadual de Campinas UNICAMP","1678765X","","","","Portuguese","Rev. Digit. Bibliotecon. Cienc. Inf.","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85208692408"
"Amaral C.; Henriques M.; Gomes F.; Mesquita P.; Ponces M.J.","Amaral, Catarina (58521890500); Henriques, Mariana (59076699300); Gomes, Fernanda (37093044600); Mesquita, Pedro (54972383800); Ponces, Maria João (55573092000)","58521890500; 59076699300; 37093044600; 54972383800; 55573092000","The Road to Sustainability in Dentistry – Is the Reuse of Sterilization Pouches Viable?; [O Caminho para a Sustentabilidade em Medicina Dentária – Será a reutilização de Mangas de Esterilização Viável?]","2023","Revista Portuguesa de Estomatologia, Medicina Dentaria e Cirurgia Maxilofacial","64","2","","72","77N","1","10.24873/j.rpemd.2023.07.1058","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85166675662&doi=10.24873%2Fj.rpemd.2023.07.1058&partnerID=40&md5=5b77446f73ad24b128ac8419552ca38f","Faculty of Dental Medicine, University of Porto, Porto, Portugal; CEB, Center of Biological Engineering, LIBRO-Laboratório de Investigação em Biofilmes Rosário Oliveira, University of Minho, Braga, Portugal; LABBELS–Associate Laboratory, Braga, Portugal; Department of Dental Anatomy, Faculty of Dental Medicine, University of Porto, Porto, Portugal; Department of Orthodontics, Faculty of Dental Medicine, University of Porto, Porto, Portugal","Amaral C., Faculty of Dental Medicine, University of Porto, Porto, Portugal; Henriques M., CEB, Center of Biological Engineering, LIBRO-Laboratório de Investigação em Biofilmes Rosário Oliveira, University of Minho, Braga, Portugal, LABBELS–Associate Laboratory, Braga, Portugal; Gomes F., CEB, Center of Biological Engineering, LIBRO-Laboratório de Investigação em Biofilmes Rosário Oliveira, University of Minho, Braga, Portugal, LABBELS–Associate Laboratory, Braga, Portugal; Mesquita P., Department of Dental Anatomy, Faculty of Dental Medicine, University of Porto, Porto, Portugal; Ponces M.J., Department of Orthodontics, Faculty of Dental Medicine, University of Porto, Porto, Portugal","Objectives: To answer the question: Can sterilized pouches be used a second time while maintaining their sterility conditions? Methods: This investigation tested paper/plastic sterilization pouches divided into three groups: experimental group – twice-used pouches; negative control group – once-used pouches; and positive control group – environmentally contaminated pouches. In the experimental group, pouches were opened, a gauze dressing was placed into them, and they were sterilized again, representing the reuse of the pouches (second sterilization cycle). After the sterilization cycle, samples were stored for 1 day (T0), 7 days (T1), 31 days (T2), and 153 days (T3). Positive control group pouches were opened and exposed to contamination in the storage environment. After the specified storage period, the experimental and negative control groups’ pouches were opened, and the gauze dressings were removed aseptically. All gauze dressings of all groups, including the positive control group, were incubated in Petri dishes with nutrient agar at 37°C for 3 days. After incubation, the Petri dishes were inspected, and the microbial contamination was assessed and classified as present or absent. Results: The experimental group’s Petri dishes showed no sign of contamination. The same happened to the negative control group. The positive control group’s Petri dishes presented microbial contamination. The same results were obtained for all incubation times. Conclusions: This study showed that sterilization pouches could be used a second time while maintaining sterility and integrity conditions, even for extended periods (153 days – 5 months of storage). © 2023 Sociedade Portuguesa de Estomatologia e Medicina Dentária.","Dentistry; Environment; Equipment reuse; Paper/plastic pouches; Sterilization; Sustainable development; Waste Management","agar; Article; contamination; controlled study; dentistry; human; incubation time; instrument sterilization; microbial contamination; microbial growth; nonhuman; storage","C. Amaral; Faculty of Dental Medicine, University of Porto, Porto, Portugal; email: caprf@hotmail.com","","Sociedade Portguesa de Estomatologia e Medicina Dentaria","16462890","","","","English","Rev. Port. Estomatol. Med. Dent. Cir. Maxilofac.","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85166675662"
"Nabeiro A.; Alberto F.; Sousa S.","Nabeiro, Andreia (59544357200); Alberto, Fernanda (36132935600); Sousa, Sara (57188922381)","59544357200; 36132935600; 57188922381","Proposal for a Sustainability Report for a Portuguese Group in the Ceramic Sector: Exploratory Study; [Proposta de um Relatório de Sustentabilidade para um Grupo Português do Setor da Cerâmica: Um Estudo Exploratório]","2025","European Public and Social Innovation Review","10","","","","","0","10.31637/epsir-2025-1156","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85217068247&doi=10.31637%2Fepsir-2025-1156&partnerID=40&md5=d2e7debe6a463c7684d23ae4ce7b61b5","Instituto Politécnico de Coimbra, Portugal","Nabeiro A., Instituto Politécnico de Coimbra, Portugal; Alberto F., Instituto Politécnico de Coimbra, Portugal; Sousa S., Instituto Politécnico de Coimbra, Portugal","Introduction: The concept of sustainability is essential for industry, in particular for the ceramic industry, which is responsible for a high environmental impact, aggravated by its high energy consumption. Given that the Portuguese ceramics industry, in 2021, composed of 1,120 companies, represented 1.3% of the turnover of the national processing industry, generating more than 1,233 million euros, it is imperative that it is sustainable, growing responsibly and in balance with society and the environment. Methodology: The action-research methodology was based on the definition of indicators, in accordance with European and international standards, dual materiality and the Sustainable Development Goals (SDGs). Results: The results of the work made it possible to identify and measure the sustainability of a benchmark business group in the ceramics industry in Portugal, in the economic, environmental, social and governance spheres. Discussion: Although the business group had some internal indicators, especially in the environmental area, these were not systematised, complete or interconnected with the other areas. Conclusions: It was found that there is a common base of sustainability indicators present in different sectors of the same industry, in this case the ceramics industry. Therefore, there is still a solid and rigorous standardisation that ensures commitment to the Paris Agreement and the SDGs. © 2025, HISIN (History of Information Systems). All rights reserved.","Ceramic industry; CSRD; GRI; Portugal; SDGs; Sustainability; Sustainability indicators; Sustainability reporting","","A. Nabeiro; Instituto Politécnico de Coimbra, Portugal; email: andreia13nabeiro@gmail.com","","HISIN (History of Information Systems)","25299824","","","","Portuguese","Eur. public soc. innov. rev.","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85217068247"
"Sepúlveda-Schaaf M.I.; Cerón-Mackay M.C.; de Araújo-Püschel V.A.; Regina-Secoli S.","Sepúlveda-Schaaf, María Idalia (57208780358); Cerón-Mackay, María Consuelo (59398535900); de Araújo-Püschel, Vilanice Alves (58667350000); Regina-Secoli, Silvia (57751427500)","57208780358; 59398535900; 58667350000; 57751427500","STRATEGIES TO ENHANCE NURSING QUALITY: A PROPOSAL FOR HEALTH SYSTEM SUSTAINABILITY; [ESTRATÉGIAS PARA APRIMORAR A QUALIDADE DA ENFERMAGEM: UMA PROPOSTA PARA A SUSTENTABILIDADE DOS SISTEMAS DE SAÚDE]; [ESTRATEGIAS DE CALIDAD DE ENFERMERIA: PROPUESTA PARA LA SOSTENIBILIDAD DE LOS SISTEMAS SANITARIOS]","2025","Texto e Contexto Enfermagem","34","","e20240153","","","0","10.1590/1980-265X-TCE-2024-0153en","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105023552821&doi=10.1590%2F1980-265X-TCE-2024-0153en&partnerID=40&md5=3748240b7486cc87b4ca815053f20120","Universidade de São Paulo, Escola de Enfermagem, Programa de Pós-Graduação em Enfermagem na Saúde do Adulto, SP, São Paulo, Brazil; SIGMA, Departamento I+D+i, Santiago, Chile; Universidad de Los Andes, Facultad Enfermería y Obstetricia, Santiago, Chile; McMaster University, School of Nursing PhD in Nursing, ON, Canada; Universidade de São Paulo, Escola de Enfermagem, SP, São Paulo, Brazil","Sepúlveda-Schaaf M.I., Universidade de São Paulo, Escola de Enfermagem, Programa de Pós-Graduação em Enfermagem na Saúde do Adulto, SP, São Paulo, Brazil, SIGMA, Departamento I+D+i, Santiago, Chile; Cerón-Mackay M.C., Universidad de Los Andes, Facultad Enfermería y Obstetricia, Santiago, Chile, McMaster University, School of Nursing PhD in Nursing, ON, Canada; de Araújo-Püschel V.A., Universidade de São Paulo, Escola de Enfermagem, SP, São Paulo, Brazil; Regina-Secoli S., Universidade de São Paulo, Escola de Enfermagem, SP, São Paulo, Brazil","Objective: to reflect on the relationship between the quality of nursing care and its costs through initiatives that strengthen the nursing profession. Discussion: Advanced Practice Nursing improves access, coverage, and quality of care. Clinical Ladder Programs promote excellence and professional growth among nurses, with positive impacts on satisfaction and retention, and consequently, on the quality of care. Nursing-sensitive indicators allow for the monitoring of nursing-related outcomes and the impact of programs. Decisions regarding advanced practice and clinical ladder programs should consider opportunity costs and assess long-term cost-effectiveness. Solid evidence such as nursing-sensitive indicators and cost comparisons supports these decisions, including the optimization of nurse staffing. Conclusion: investing in the nursing workforce prevents adverse events, improves satisfaction and quality of care, and reduces costs, achieving institutional sustainability and efficiency. Supporting decision-making with cost-effectiveness studies is essential for the incorporation of such nursing strategies. © 2025, Universidade Federal de Santa Catarina. All rights reserved.","Advanced practice nursing; Nursing; Nursing care; Shared governance","","M.I. Sepúlveda-Schaaf; Universidade de São Paulo, Escola de Enfermagem, Programa de Pós-Graduação em Enfermagem na Saúde do Adulto, São Paulo, SP, Brazil; email: mariaidaliasepulveda@gmail.com","","Universidade Federal de Santa Catarina","01040707","","","","English","Texto Contexto Enferm.","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-105023552821"
"Vilas L.H.L.","Vilas, Luiz Henrique Lopes (58348299600)","58348299600","BRAZIL: IMPACTS OF DIGITAL TECHNOLOGY ON SUSTAINABILITY IN THE AUTOMOTIVE RECYCLING SECTOR; [BRASIL: IMPACTOS DA TECNOLOGIA DIGITAL NA SUSTENTABILIDADE DO SETOR DE RECICLAGEM AUTOMOTIVA]","2023","Journal of Law and Sustainable Development","11","1","e0370","","","6","10.37497/sdgs.v11i1.370","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85162875350&doi=10.37497%2Fsdgs.v11i1.370&partnerID=40&md5=d60f3f7cec815c985e811c69e55c0680","Ph.D. Business Administration, Flórida Christian University (FCU), United States","Vilas L.H.L., Ph.D. Business Administration, Flórida Christian University (FCU), United States","Objective: The article aims to analyze the impact of digital technology on the sustainability of automotive recycling, highlighting the importance of using digital technology to monitor sustainability requirements throughout the vehicle life cycle and recycling processes. Method: The study is based on research developed under the Postdoctoral Program in Business Administration at FCU Florida Christian University. Preliminary data and literature review on sustainable management, automotive recycling and waste disposal are presented, and the use of digital technology in this context is explored. Results: The results highlight the lack of shared protocols and knowledge about hazardous waste in the automotive sector. Areas of action for companies and countries wishing to move towards the circular economy, such as neutralizing CO2 emissions and using renewable energy sources, are also presented. Conclusions: The article highlights the need to develop and implement digital technology tools for managing sustainability policies in the automotive sector. The use of digital technology can contribute to the proper management of waste, the valorization of components, and the minimization of environmental impact throughout the life cycle of the vehicle. © 2023 The Author(s).","automotive recycling; digital technology; ESG; sustainability; waste management","","L.H.L. Vilas; Ph.D. Business Administration, Flórida Christian University (FCU), United States; email: jbvilas@hotmail.com","","ALUMNI IN","27644170","","","","English","J. Law Sustain. Dev.","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85162875350"
"Faria B.; DE OLIVEIRA L.J.","Faria, Bruna (60198130500); DE OLIVEIRA, Lourival José (58132167200)","60198130500; 58132167200","App-based drivers and the pursuit of dignified work in Brazil: sustainability in the era of economic globalization and technological advancements; [Motoristas de aplicativo e a busca por um trabalho digno no Brasil: a sustentabilidade na era da globalização econômica e avanços tecnológicos]","2025","Law of Justice Journal","39","1","","181","202","0","10.5335/rjd.v39i1.15917","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105022085904&doi=10.5335%2Frjd.v39i1.15917&partnerID=40&md5=e085d6971023c5e98902d9a9d4afa9a6","Universidade Estadual de Londrina-UEL, Paraná, Brazil","Faria B., Universidade Estadual de Londrina-UEL, Paraná, Brazil; DE OLIVEIRA L.J., Universidade Estadual de Londrina-UEL, Paraná, Brazil","This paper explores the principle of sustainability in the context of atypical jobs, with a particular emphasis on app-based drivers. This study begins by examining the principle of sustainability, its origins, and its applicability within Labor Law. It then delves into the growing trend of atypical work in the modern era, a phenomenon driven by economic globalization and technological advancements. The latter part of this research narrows its focus to app-based drivers, specifically Uber drivers, and discusses the efforts made by the Brazilian legislative and judiciary branches to enhance labor and social security protections. In this context, this study also examines Brazilian Complementary Law Project 12/24 and despite its normative text assuring a minimum workday, pay per hour worked, social security rights, and union organization, its approval could potentially increase Uber service prices, diminish workers’ pay, and eradicate their work schedules. The research methodology is bibliographic and employs deductive reasoning. © 2025, University of Passo Fundo. All rights reserved.","app driver; atypical jobs; human dignity; sustainability; Uber","","","","University of Passo Fundo","14137038","","","","Portuguese","Law. Justice. J.","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-105022085904"
"Maia M.","Maia, Manuela (58521882500)","58521882500","A PERSPECTIVE ON 21ST DESIGN CHALLENGES FACING THE URGENCY OF SOLUTIONS FOR GLOBAL SUSTAINABILITY. THE EMERGING OF AN EDUCATION AND DESIGN PROFESSION ALIGNMENT ABOUT CORE PRINCIPLES.; [Uma perspectiva sobre os desafios de design no século XXI perante a urgência de soluções para a sustentabilidade global. O surgimento de um alinhamento da profissão e da educação e design sobre princípios fundamentais.]","2022","Convergencias: Revista de Investigacao e Ensino das Artes","15","29","","105","113","0","10.53681/c1514225187514391s.29.137","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85166673367&doi=10.53681%2Fc1514225187514391s.29.137&partnerID=40&md5=a53323422cf69be1937b600142144395","ISEC Instituto Superior de Educação e Ciência, Portugal; TGRAF Instituto Internacional de Estudos e Investigação em Tecnologias Gráficas e Comunicação Científica, Portugal","Maia M., ISEC Instituto Superior de Educação e Ciência, Portugal, TGRAF Instituto Internacional de Estudos e Investigação em Tecnologias Gráficas e Comunicação Científica, Portugal","Before the accelerated transformation of reality, we question the human role in the technological context, placing the need of thinking about the importance of intrinsically human competences. In the scope of design, a field of practice and academic discipline, the challenge for the profession and the future education is huge. Above all, these challenges have to do with large scale and with processes requiring the ability to deal with more complex conceptual frameworks, with a set of context dimensions involving economic, ecological, social, cultural, and political issues of societies in permanent change. The design community recognizes the value of designer's multidisciplinary skills and the ability to lead processes involving large socio-technical systems. However, today the designer faces the challenge of multidisciplinary working teams where skills go far beyond their traditional abilities. The thinking and practice of design reveals a set of core values and virtues of the designers that allows a strategic positioning of these professionals in the complex problem-solving context. Nevertheless, designers will have an increasingly demanding role in creating products, services and experiences which mean a profession under pressure to evolve towards a more complex activity requiring new general and specialized skills. The objective of our reflection is about designer’s competencies transition demand, an imperative requiring technological and management skills and leadership capacity on sustainable solutions complex processes. Despite this recognition, designers must be prepared about collaboration and cooperation skills, a necessity more and more in tension with a reality where the whole potential of design to deal with complexity remains unaware. Design community reflects about designer’s strategic value for facing global challenges and points out the complexity approach as a requirement of design education in the future. Considered a condition for design expansion this concern is also revealed in design education research contributions. This contextual disposition makes possible to regard an alignment about a direction to pursue. This paper presents a reflection about this problematic field which intends to be a contribution to understand how design discipline can evolve meeting the designer’s community recognition of the necessity of a set of updated critical dimensions for design activity. This reflection looks at the design community before a strong demand for an evolution, pushing to a design education deep transformation. This kind of evolution for design may occur first in the professional practice and will be primarily caused, in our perspective, by the desirable and the unavoidable impact on design processes of a design community's new mindset about core principles. © 2022 Instituto Politécnico de Castelo Branco.","Complex solving problems; Design cognition; Design education; Design practice; SDG","","M. Maia; ISEC, Lisboa, Alameda das Linhas de Torres, 179, Portugal; email: manuela.maia@iseclisboa.pt","","Polytechnic Institute of Castelo Branco Higher School of Applied Arts","21840180","","","","English","Convergencias.","Review","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85166673367"
"de Medeiros E.L.; Oliveira C.T.A.; Henry-Silva G.G.","de Medeiros, Eudilena Laurindo (58192370000); Oliveira, Camila Tâmires Alves (58191754100); Henry-Silva, Gustavo Gonzaga (6506652395)","58192370000; 58191754100; 6506652395","Assessment of environmental, social and economic sustainability of a hydrographic basin in the Brazilian semiarid region; [Avaliação da sustentabilidade ambiental, social e econômica de uma bacia hidrográfica do semiárido brasileiro]","2023","Desenvolvimento e Meio Ambiente","61","","","1","17","3","10.5380/DMA.V61I0.78914","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85153238344&doi=10.5380%2FDMA.V61I0.78914&partnerID=40&md5=016621b9ac33a2bd25867e218e030253","Universidade Federal Rural do Semi-árido (UFERSA), RN, Mossoró, Brazil","de Medeiros E.L., Universidade Federal Rural do Semi-árido (UFERSA), RN, Mossoró, Brazil; Oliveira C.T.A., Universidade Federal Rural do Semi-árido (UFERSA), RN, Mossoró, Brazil; Henry-Silva G.G., Universidade Federal Rural do Semi-árido (UFERSA), RN, Mossoró, Brazil","The objective of the present study is to evaluate the environmental, social and economic sustainability of the Apodi/Mossoró River hydrographic basin (RN) located in the Brazilian semiarid region. The basin was divided into four sections: upper course, upper middle course, lower middle course, and lower course. The sampling sites were distributed along the hydrographic basin to obtain the values of the following limnological variables: dissolved oxygen, total nitrogen, total phosphorus and thermotolerant coliforms. Information related to economic and social indicators was acquired from the Brazilian Institute of Geography and Statistics (IBGE). Sustainability was assessed using the conceptual model implemented with the aid of the software Multisectorial, Integrated and Operational Decision Support System for Sustainable Use of Water Resources at the Catchment Scale (MULINO mDSS). In the Apodi/Mossoró river basin, the most sustainable stretch was the lower course, with less variation amplitude between the scores of the economic, environmental and social dimensions. This stretch was considered potentially sustainable, with better performance in the social and economic dimensions; however, comparatively, it showed lower score for the environmental dimension than the other sections of the hydrographic basin. This fact shows that the lower course section has greater economic and social development, however, presents more environmental problems. The upper course section was classified as having low sustainability. The upper middle course section stood out in the environmental dimension, but because it did not present proportional scores in the social and economic dimensions, its overall index was of low sustainability. The lower middle course section showed average sustainability. Thus, it was shown that environments that are more economically developed tend to have more environmental problems, however, they can still be considered more sustainable due to greater economic and social development. © 2023 Universidade Federal do Parana. All rights reserved.","Apodi-Mossoró River; aquatic ecosystems; eutrophication; water resources","","C.T.A. Oliveira; Universidade Federal Rural do Semi-árido (UFERSA), Mossoró, RN, Brazil; email: camilatamires.alves@uece.br","","Universidade Federal do Parana","1518952X","","","","English","Desenvolv. Meio Ambient.","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85153238344"
"Dwivedy D.; Sharma M.","Dwivedy, Dilip (58608682400); Sharma, Mukesh (58608509400)","58608682400; 58608509400","ROLE OF GREEN BONDS IN PROMOTING SUSTAINABILITY AND THEIR EFFECTS ON PUBLIC POLICY; [PAPEL DAS OBRIGAÇÕES VERDES NA PROMOÇÃO DA SUSTENTABILIDADE E DOS SEUS EFEITOS NA POLÍTICA PÚBLICA]","2023","Journal of Law and Sustainable Development","11","6","e01186","","","3","10.55908/sdgs.v11i6.1186","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85171739846&doi=10.55908%2Fsdgs.v11i6.1186&partnerID=40&md5=81affcdcfc874a168a804a67a5bd753c","Department of Law, Kalinga University, Chhattisgarh, Naya Raipur, India","Dwivedy D., Department of Law, Kalinga University, Chhattisgarh, Naya Raipur, India; Sharma M., Department of Law, Kalinga University, Chhattisgarh, Naya Raipur, India","Objective: During the last decade, the launch of green bonds has been one of the most important breakthroughs in sustainable financing. The effect of environmental labels on bond yields has been a common topic. Green bonds have become increasingly common, particularly in sectors where environmental factors are economically significant for businesses. Green bonds have been taken for consideration to boost environmental performance, indicating their efficacy in reducing businesses' ecological impact. Result: These findings are specific to green bonds that have been independently confirmed, demonstrating the need of authorization as a control instrument in the green bond market. The investors have a favorable reaction to the news of issuance, with a stronger reaction for initial suppliers and securities certified by independent organizations. After the issuance, the issuers' environmental performance improves (in the form of higher environmental ratings and reduced Co-2 emissions), and long-term and green investors get a greater stake in the companies. Method: Overall, the results are consistent with a signaling argument, suggesting that issuing green bonds is a credible way for businesses to demonstrate their dedication to environmental protection by developing Green Bonds in Business for Sustainable Growth [GB-BSG] to meet the challenges mentioned above. Conclusion: Our research is among the first experimental inquiries into the effects of green bonds on the sustainability practices of businesses, the motivations of investors and issuers to enter the green bond market, and the significance of green bonds in redistributing capital to environmentally responsible endeavors. © 2023, FACMED - Faculty of Medical and Juridical Sciences. All rights reserved.","business; economic development; green bonds; investors; suppliers; sustainable growth","","","","FACMED - Faculty of Medical and Juridical Sciences","27644170","","","","English","J. Law Sustain. Dev.","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85171739846"
