"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Cited by","DOI","Link","Affiliations","Authors with affiliations","Author Keywords","Publisher","Document Type","Publication Stage","Open Access","Source","EID"
"Pikhart, M.; Klimova, B.","Pikhart, Marcel (56230086000); Klimova, Blanka Frydrychová (57196444784)","56230086000; 57196444784","A qualitative study on ethical issues related to the use of AI-driven technologies in foreign language learning","2025","Scientific Reports","15","1","27945","","","0","10.1038/s41598-025-13741-6","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105012295704&doi=10.1038%2Fs41598-025-13741-6&partnerID=40&md5=208c48d54bca1356fdf414902eca267f","Centre for Basic and Applied Research, Univerzita Hradec Králové, Hradec Kralove, Czech Republic; Department of Applied Linguistics, Univerzita Hradec Králové, Hradec Kralove, Czech Republic","Pikhart, Marcel, Centre for Basic and Applied Research, Univerzita Hradec Králové, Hradec Kralove, Czech Republic; Klimova, Blanka Frydrychová, Department of Applied Linguistics, Univerzita Hradec Králové, Hradec Kralove, Czech Republic","Digital learning; Ethical challenges; Higher education; Second language acquisition; Threats of AI","Nature Research","Article","Final","All Open Access; Gold Open Access; Green Accepted Open Access; Green Open Access","Scopus","2-s2.0-105012295704"
"Sugiyama, T.; Tang, M.; Sugimori, H.; Sakamoto, M.; Fujimura, M.","Sugiyama, Taku (35811164800); Tang, Minghui (57191406948); Sugimori, Hiroyuki (14054827600); Sakamoto, Marin (59707608100); Fujimura, Miki (7201574848)","35811164800; 57191406948; 14054827600; 59707608100; 7201574848","Artificial intelligence-integrated video analysis of vessel area changes and instrument motion for microsurgical skill assessment","2025","Scientific Reports","15","1","27898","","","1","10.1038/s41598-025-13522-1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105012294982&doi=10.1038%2Fs41598-025-13522-1&partnerID=40&md5=48d39d631c3befb3211e2c4bcb2821e2","Department of Neurosurgery, Graduate School of Medicine, Sapporo, Hokkaido, Japan; Medical AI Research and Development Center, Hokkaido University Hospital, Sapporo, Hokkaido, Japan; Department of Diagnostic Imaging, Faculty of Medicine, Sapporo, Hokkaido, Japan; Department of Biomedical Science and Engineering, Hokkaido University, Sapporo, Hokkaido, Japan; Graduate School of Health Sciences, Hokkaido University, Sapporo, Hokkaido, Japan","Sugiyama, Taku, Department of Neurosurgery, Graduate School of Medicine, Sapporo, Hokkaido, Japan, Medical AI Research and Development Center, Hokkaido University Hospital, Sapporo, Hokkaido, Japan; Tang, Minghui, Department of Diagnostic Imaging, Faculty of Medicine, Sapporo, Hokkaido, Japan; Sugimori, Hiroyuki, Medical AI Research and Development Center, Hokkaido University Hospital, Sapporo, Hokkaido, Japan, Department of Biomedical Science and Engineering, Hokkaido University, Sapporo, Hokkaido, Japan; Sakamoto, Marin, Graduate School of Health Sciences, Hokkaido University, Sapporo, Hokkaido, Japan; Fujimura, Miki, Department of Neurosurgery, Graduate School of Medicine, Sapporo, Hokkaido, Japan","Deep learning; EC-IC bypass; Microsurgical training; Objective surgical skill evaluation; Surgical education; Tissue deformation","Nature Research","Article","Final","All Open Access; Gold Open Access; Green Accepted Open Access; Green Open Access","Scopus","2-s2.0-105012294982"
"Barnawi, N.A.; AlAmmar, F.A.; Aldabeis, S.A.; Alahmar, S.M.; Alharthi, A.A.; Abolfotouh, M.A.","Barnawi, Najla A. (57201651816); AlAmmar, Fay A. (60020092300); Aldabeis, Sultan A. (60020283600); Alahmar, Salma M. (60020092400); Alharthi, Ahmed Ali (59672277800); Abolfotouh, Mostafa A. (7004386021)","57201651816; 60020092300; 60020283600; 60020092400; 59672277800; 7004386021","Dentists’ perception and use of AI and robotics in the care of persons with disabilities","2025","Scientific Reports","15","1","27551","","","0","10.1038/s41598-025-10988-x","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105012028715&doi=10.1038%2Fs41598-025-10988-x&partnerID=40&md5=bec39dc4522ff19de7a4be25da1f8b65","National Guard Health Affairs, Riyadh, Riyad, Saudi Arabia; College of Nursing, King Saud bin Abdulaziz University for Health Sciences, Riyadh, Riyad, Saudi Arabia; College of Dentistry, King Saud bin Abdulaziz University for Health Sciences, Riyadh, Riyad, Saudi Arabia; Family Health Department, High Institute of Public Health, Alexandria, Alexandria, Egypt","Barnawi, Najla A., National Guard Health Affairs, Riyadh, Riyad, Saudi Arabia, College of Nursing, King Saud bin Abdulaziz University for Health Sciences, Riyadh, Riyad, Saudi Arabia; AlAmmar, Fay A., National Guard Health Affairs, Riyadh, Riyad, Saudi Arabia, College of Dentistry, King Saud bin Abdulaziz University for Health Sciences, Riyadh, Riyad, Saudi Arabia; Aldabeis, Sultan A., National Guard Health Affairs, Riyadh, Riyad, Saudi Arabia, College of Dentistry, King Saud bin Abdulaziz University for Health Sciences, Riyadh, Riyad, Saudi Arabia; Alahmar, Salma M., National Guard Health Affairs, Riyadh, Riyad, Saudi Arabia, College of Dentistry, King Saud bin Abdulaziz University for Health Sciences, Riyadh, Riyad, Saudi Arabia; Alharthi, Ahmed Ali, National Guard Health Affairs, Riyadh, Riyad, Saudi Arabia, College of Dentistry, King Saud bin Abdulaziz University for Health Sciences, Riyadh, Riyad, Saudi Arabia; Abolfotouh, Mostafa A., National Guard Health Affairs, Riyadh, Riyad, Saudi Arabia, Family Health Department, High Institute of Public Health, Alexandria, Alexandria, Egypt","AI/RT utilization; Dentistry technology; Disability; Impairment; Oral health education; Perception; PWDs; Robotics","Nature Research","Article","Final","All Open Access; Gold Open Access; Green Accepted Open Access; Green Open Access","Scopus","2-s2.0-105012028715"
"Kang, S.; Lee, Y.; Kim, N.; Ok, S.-H.; Kim, P.; Park, O.-H.; Kim, D.-M.; Jang, Y.; Kim, H.-J.","Kang, Sungwoo (60018734400); Lee, Yunjin (58548544000); Kim, Nayoung (60018734500); Ok, Sang Houn (60019238600); Kim, Pilsu (60019586800); Park, Ok-hyun (60019067100); Kim, Da-mi (59172051100); Jang, Yongwoo (35080591800); Kim, Hee Jin (58365187300)","60018734400; 58548544000; 60018734500; 60019238600; 60019586800; 60019067100; 59172051100; 35080591800; 58365187300","Beneficial effect of artificial intelligence care call on memory and depression in community dwelling individuals with dementia","2025","Scientific Reports","15","1","27116","","","1","10.1038/s41598-025-12895-7","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105011935593&doi=10.1038%2Fs41598-025-12895-7&partnerID=40&md5=b660035a7df4e6852a9bc72a9247a652","Department of Neurology, Hanyang University College of Medicine, Seoul, South Korea; Department of Medical and Digital Engineering, Hanyang University, Seoul, South Korea; NAVER, Seongnam, Gyeonggi-do, South Korea; Seongdong-Gu Regional Center for Dementia, Seoul, Seoul, South Korea; Department of Pharmacology, Hanyang University College of Medicine, Seoul, South Korea","Kang, Sungwoo, Department of Neurology, Hanyang University College of Medicine, Seoul, South Korea; Lee, Yunjin, Department of Medical and Digital Engineering, Hanyang University, Seoul, South Korea; Kim, Nayoung, Department of Medical and Digital Engineering, Hanyang University, Seoul, South Korea; Ok, Sang Houn, NAVER, Seongnam, Gyeonggi-do, South Korea; Kim, Pilsu, NAVER, Seongnam, Gyeonggi-do, South Korea; Park, Ok-hyun, Seongdong-Gu Regional Center for Dementia, Seoul, Seoul, South Korea; Kim, Da-mi, Seongdong-Gu Regional Center for Dementia, Seoul, Seoul, South Korea; Jang, Yongwoo, Department of Pharmacology, Hanyang University College of Medicine, Seoul, South Korea; Kim, Hee Jin, Department of Neurology, Hanyang University College of Medicine, Seoul, South Korea, Department of Medical and Digital Engineering, Hanyang University, Seoul, South Korea","Artificial intelligence; Cognition; Depression; Intervention; Large language model","Nature Research","Article","Final","All Open Access; Gold Open Access; Green Accepted Open Access; Green Open Access","Scopus","2-s2.0-105011935593"
"Ahmed, W.; Wani, M.A.; Pławiak, P.; Meshoul, S.; Mahmoud, A.; Hammad, M.","Ahmed, Wesam (59902443700); Wani, Mudasir Ahmad (57196054158); Pławiak, Paweł (55939473200); Meshoul, Souham (56308033400); Mahmoud, Amena (57221304054); Hammad, Mohamed Adel (57194656523)","59902443700; 57196054158; 55939473200; 56308033400; 57221304054; 57194656523","Machine learning-based academic performance prediction with explainability for enhanced decision-making in educational institutions","2025","Scientific Reports","15","1","26879","","","11","10.1038/s41598-025-12353-4","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105011388610&doi=10.1038%2Fs41598-025-12353-4&partnerID=40&md5=fabe8760985b3f9ead7d1298672d72b3","Department of Information Technology, Hurghada University, Hurghada, Egypt; College of Computer and Information Science, Prince Sultan University, Riyadh, Riyad, Saudi Arabia; Department of Computer Science, Politechnika Krakowska, Krakow, Lesser, Poland; Institute of Theoretical and Applied Informatics of the Polish Academy of Sciences, Gliwice, SL, Poland; Department of Information Technology, Princess Nourah Bint Abdulrahman University, Riyadh, Riyad, Saudi Arabia; Department of Computer Science, Faculty of Computers and Information, Kafr el-sheikh, Kafr el-Sheikh, Egypt; Department of Information Technology, Faculty of Computers & Informations, Shibin El Kom, Monufia, Egypt","Ahmed, Wesam, Department of Information Technology, Hurghada University, Hurghada, Egypt; Wani, Mudasir Ahmad, College of Computer and Information Science, Prince Sultan University, Riyadh, Riyad, Saudi Arabia; Pławiak, Paweł, Department of Computer Science, Politechnika Krakowska, Krakow, Lesser, Poland, Institute of Theoretical and Applied Informatics of the Polish Academy of Sciences, Gliwice, SL, Poland; Meshoul, Souham, Department of Information Technology, Princess Nourah Bint Abdulrahman University, Riyadh, Riyad, Saudi Arabia; Mahmoud, Amena, Department of Computer Science, Faculty of Computers and Information, Kafr el-sheikh, Kafr el-Sheikh, Egypt; Hammad, Mohamed Adel, College of Computer and Information Science, Prince Sultan University, Riyadh, Riyad, Saudi Arabia, Department of Information Technology, Faculty of Computers & Informations, Shibin El Kom, Monufia, Egypt","Academic performance prediction; Artificial intelligence in education; Educational decision-making; Machine learning models; Voting regression; XAI","Nature Research","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-105011388610"
"Kavousinejad, S.; Dalaie, K.; Behnaz, M.; Tahmasbi, S.; Ebadifar, A.; Mirmohammadsadeghi, H.","Kavousinejad, Shahab (57218906997); Dalaie, Kazem (57189898026); Behnaz, Mohammad (37008214900); Tahmasbi, Soodeh (56756973800); Ebadifar, Asghar (14819029200); Mirmohammadsadeghi, Hoori (57216991008)","57218906997; 57189898026; 37008214900; 56756973800; 14819029200; 57216991008","Developing an artificial intelligence-based progressive growing GAN for high-quality facial profile generation and evaluation through turing test and aesthetic analysis","2025","Scientific Reports","15","1","26611","","","1","10.1038/s41598-025-11172-x","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105011344719&doi=10.1038%2Fs41598-025-11172-x&partnerID=40&md5=b61daaf1e9d1a3b294bb8a7952d219fe","Department of Orthodontics, SBUMS School of Dentistry, Tehran, Tehran, Iran; SBUMS Dentofacial Deformities Research Center, Tehran, Tehran, Iran","Kavousinejad, Shahab, Department of Orthodontics, SBUMS School of Dentistry, Tehran, Tehran, Iran, SBUMS Dentofacial Deformities Research Center, Tehran, Tehran, Iran; Dalaie, Kazem, Department of Orthodontics, SBUMS School of Dentistry, Tehran, Tehran, Iran, SBUMS Dentofacial Deformities Research Center, Tehran, Tehran, Iran; Behnaz, Mohammad, Department of Orthodontics, SBUMS School of Dentistry, Tehran, Tehran, Iran, SBUMS Dentofacial Deformities Research Center, Tehran, Tehran, Iran; Tahmasbi, Soodeh, Department of Orthodontics, SBUMS School of Dentistry, Tehran, Tehran, Iran, SBUMS Dentofacial Deformities Research Center, Tehran, Tehran, Iran; Ebadifar, Asghar, Department of Orthodontics, SBUMS School of Dentistry, Tehran, Tehran, Iran, SBUMS Dentofacial Deformities Research Center, Tehran, Tehran, Iran; Mirmohammadsadeghi, Hoori, Department of Orthodontics, SBUMS School of Dentistry, Tehran, Tehran, Iran, SBUMS Dentofacial Deformities Research Center, Tehran, Tehran, Iran","Artificial intelligence; Deep learning; Image processing; Orthodontics","Nature Research","Article","Final","All Open Access; Gold Open Access; Green Accepted Open Access; Green Open Access","Scopus","2-s2.0-105011344719"
"Niu, T.; Liu, T.; Luo, Y.T.; Pang, P.C.-I.; Huang, S.; Xiang, A.","Niu, Tianyue (60009482000); Liu, Ting (59049647700); Luo, Yiming Taclis (59985620800); Pang, Patrick (56414245300); Huang, Shuaishuai (59338253200); Xiang, Ao (58962812100)","60009482000; 59049647700; 59985620800; 56414245300; 59338253200; 58962812100","Decoding student cognitive abilities: a comparative study of explainable AI algorithms in educational data mining","2025","Scientific Reports","15","1","26862","","","3","10.1038/s41598-025-12514-5","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105011339884&doi=10.1038%2Fs41598-025-12514-5&partnerID=40&md5=1f5f4aeddb319217f72918b1975dcc18","Xiamen Academy of Arts and Design, Fuzhou University, Fuzhou, Fujian, China; Faculty of Applied Sciences, Macao Polytechnic University, Macau, Macao; School of Software Engineering, University of Science and Technology of China, Hefei, Anhui, China; Information Security and Assurance, Northern Arizona University, Flagstaff, AZ, United States","Niu, Tianyue, Xiamen Academy of Arts and Design, Fuzhou University, Fuzhou, Fujian, China; Liu, Ting, Faculty of Applied Sciences, Macao Polytechnic University, Macau, Macao; Luo, Yiming Taclis, Faculty of Applied Sciences, Macao Polytechnic University, Macau, Macao; Pang, Patrick, Faculty of Applied Sciences, Macao Polytechnic University, Macau, Macao; Huang, Shuaishuai, School of Software Engineering, University of Science and Technology of China, Hefei, Anhui, China; Xiang, Ao, Information Security and Assurance, Northern Arizona University, Flagstaff, AZ, United States","Cognitive abilities; Educational data mining; Explainability algorithms; Machine learning; Students","Nature Research","Article","Final","All Open Access; Gold Open Access; Green Accepted Open Access; Green Open Access","Scopus","2-s2.0-105011339884"
"Fan, L.; Deng, K.; Liu, F.","Fan, Lei (36990962200); Deng, Kunyang (59936663600); Liu, Fangxue (59697677100)","36990962200; 59936663600; 59697677100","Educational impacts of generative artificial intelligence on learning and performance of engineering students in China","2025","Scientific Reports","15","1","26521","","","16","10.1038/s41598-025-06930-w","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105011281201&doi=10.1038%2Fs41598-025-06930-w&partnerID=40&md5=347c91a925c3c002ee5482a7d77e4172","Department of Civil Engineering, Xi'an Jiaotong-Liverpool University, Suzhou, Jiangsu, China","Fan, Lei, Department of Civil Engineering, Xi'an Jiaotong-Liverpool University, Suzhou, Jiangsu, China; Deng, Kunyang, Department of Civil Engineering, Xi'an Jiaotong-Liverpool University, Suzhou, Jiangsu, China; Liu, Fangxue, Department of Civil Engineering, Xi'an Jiaotong-Liverpool University, Suzhou, Jiangsu, China","Artificial intelligence; Educational technology; Engineering; Learning; Pedagogy; Student","Nature Research","Article","Final","All Open Access; Gold Open Access; Green Accepted Open Access; Green Open Access","Scopus","2-s2.0-105011281201"
"Duan, R.; Yang, H.; Zhai, X.; Yu, J.; Lu, C.; Yang, W.; Long, T.; Dao, Y.; Li, G.; Zhou, Y.; Zheng, H.; Zhao, F.; Zheng, Y.-T.; Huang, Y.","Duan, Rufei (57203022930); Yang, Hongying (7406566643); Zhai, Xiuwei (60006682700); Yu, Jing (60006547500); Lu, Chen (60006413000); Yang, Wenmin (60006280200); Long, Tingfeng (60006547600); Dao, Yan (60006816300); Li, Gaofeng (60006951600); Zhou, Yongchun (60006682800); Zheng, Hongyi (56150769000); Zhao, Fanghui (9839127400); Zheng, Yongtang (7404837652); Huang, Yunchao (23976179000)","57203022930; 7406566643; 60006682700; 60006547500; 60006413000; 60006280200; 60006547600; 60006816300; 60006951600; 60006682800; 56150769000; 9839127400; 7404837652; 23976179000","Accuracy and acceptability of self-sampling HPV testing in cervical cancer screening: a population-based study in rural Yunnan, China","2025","Scientific Reports","15","1","26390","","","2","10.1038/s41598-025-09292-5","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105011193788&doi=10.1038%2Fs41598-025-09292-5&partnerID=40&md5=fde03f43ed0c79da2067ad3c4db56ba1","Department of Cancer Prevention and Control, The Third Affiliated Hospital of Kunming Medical University, Kunming, Yunnan, China; KIZ-CUHK Joint Laboratory of Bioresources and Molecular Research in Common Diseases, Kunming Institute of Zoology Chinese Academy of Sciences, Kunming, Yunnan, China; Department of Gynecology, The Third Affiliated Hospital of Kunming Medical University, Kunming, Yunnan, China; Department of Medical Laboratory, The Second Affiliated Hospital of Kunming Medical University, Kunming, Yunnan, China; Department of Gynecology, Shuangjiang Maternal and Child Health Hospital, Lincang, Yunnan, China; Department of Teaching Management, The Third Affiliated Hospital of Kunming Medical University, Kunming, Yunnan, China; Department of Cancer Epidemiology, Chinese Academy of Medical Sciences & Peking Union Medical College, Beijing, China","Duan, Rufei, Department of Cancer Prevention and Control, The Third Affiliated Hospital of Kunming Medical University, Kunming, Yunnan, China, KIZ-CUHK Joint Laboratory of Bioresources and Molecular Research in Common Diseases, Kunming Institute of Zoology Chinese Academy of Sciences, Kunming, Yunnan, China; Yang, Hongying, Department of Gynecology, The Third Affiliated Hospital of Kunming Medical University, Kunming, Yunnan, China; Zhai, Xiuwei, Department of Medical Laboratory, The Second Affiliated Hospital of Kunming Medical University, Kunming, Yunnan, China; Yu, Jing, Department of Gynecology, The Third Affiliated Hospital of Kunming Medical University, Kunming, Yunnan, China; Lu, Chen, Department of Gynecology, The Third Affiliated Hospital of Kunming Medical University, Kunming, Yunnan, China; Yang, Wenmin, Department of Gynecology, Shuangjiang Maternal and Child Health Hospital, Lincang, Yunnan, China; Long, Tingfeng, Department of Teaching Management, The Third Affiliated Hospital of Kunming Medical University, Kunming, Yunnan, China; Dao, Yan, Department of Gynecology, Shuangjiang Maternal and Child Health Hospital, Lincang, Yunnan, China; Li, Gaofeng, Department of Cancer Prevention and Control, The Third Affiliated Hospital of Kunming Medical University, Kunming, Yunnan, China; Zhou, Yongchun, Department of Cancer Prevention and Control, The Third Affiliated Hospital of Kunming Medical University, Kunming, Yunnan, China; Zheng, Hongyi, KIZ-CUHK Joint Laboratory of Bioresources and Molecular Research in Common Diseases, Kunming Institute of Zoology Chinese Academy of Sciences, Kunming, Yunnan, China; Zhao, Fanghui, Department of Cancer Epidemiology, Chinese Academy of Medical Sciences & Peking Union Medical College, Beijing, China; Zheng, Yongtang, KIZ-CUHK Joint Laboratory of Bioresources and Molecular Research in Common Diseases, Kunming Institute of Zoology Chinese Academy of Sciences, Kunming, Yunnan, China; Huang, Yunchao, Department of Cancer Prevention and Control, The Third Affiliated Hospital of Kunming Medical University, Kunming, Yunnan, China","Acceptability; Accuracy; Cervical cancer screening; HPV; Self-sampling","Nature Research","Article","Final","All Open Access; Gold Open Access; Green Accepted Open Access; Green Open Access","Scopus","2-s2.0-105011193788"
"Kumar, A.; Saudagar, A.K.J.; Kumar, A.; Alkhrijah, Y.M.; Raja, L.","Kumar, Abhishek (37085909200); Saudagar, Abdul Khader Jilani (56166431300); Kumar, Ankit (57209569655); Alkhrijah, Yazeed (57222055391); Raja, Linesh (57202087759)","37085909200; 56166431300; 57209569655; 57222055391; 57202087759","Innovating medical education using a cost effective and scalable VR platform with AI-Driven haptics","2025","Scientific Reports","15","1","26360","","","5","10.1038/s41598-025-10543-8","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105011183564&doi=10.1038%2Fs41598-025-10543-8&partnerID=40&md5=a64e83ca0cdf73222ad49491216b7074","Department of Communication Design, Andhra Pradesh (NID-AP), Guntur, India; Information Systems Department, Imam Mohammad Ibn Saud Islamic University, Riyadh, Riyad, Saudi Arabia; Department of Information Technology, Guru Ghasidas Vishwavidyalaya, Bilaspur, CG, India; Department of Electrical Engineering, Imam Mohammad Ibn Saud Islamic University, Riyadh, Riyad, Saudi Arabia; Department of Computer Applications, Manipal University Jaipur, Jaipur, RJ, India","Kumar, Abhishek, Department of Communication Design, Andhra Pradesh (NID-AP), Guntur, India; Saudagar, Abdul Khader Jilani, Information Systems Department, Imam Mohammad Ibn Saud Islamic University, Riyadh, Riyad, Saudi Arabia; Kumar, Ankit, Department of Information Technology, Guru Ghasidas Vishwavidyalaya, Bilaspur, CG, India; Alkhrijah, Yazeed, Department of Electrical Engineering, Imam Mohammad Ibn Saud Islamic University, Riyadh, Riyad, Saudi Arabia; Raja, Linesh, Department of Computer Applications, Manipal University Jaipur, Jaipur, RJ, India","AI-Enhancement; Haptic feedback; Learning outcomes; Skill retention rate; Virtual reality","Nature Research","Article","Final","All Open Access; Gold Open Access; Green Accepted Open Access; Green Open Access","Scopus","2-s2.0-105011183564"
"Sevinç, S.; Candemir, M.; Yamak, B.A.; Kiziltunç, E.; Sezenöz, B.; Şahin, O.B.; Topal, S.; Demir, Y.; Yalçin, M.R.; Şahinarslan, A.","Sevinç, Samet (57202011571); Candemir, Mustafa (56529668900); Yamak, Betül Ayça (57218329092); Kiziltunç, Emrullah (30267736600); Sezenöz, Burak (55771349100); Şahin, Orhan Batur (59393504900); Topal, Salih (24479141000); Demir, Yusuf (57203939689); Yalçin, Mehmet Ridvan (57220538266); Şahinarslan, Asife (8575176400)","57202011571; 56529668900; 57218329092; 30267736600; 55771349100; 59393504900; 24479141000; 57203939689; 57220538266; 8575176400","An academic evaluation of ChatGpt’s ability and accuracy in creating patient education resources for rare cardiovascular diseases","2025","Scientific Reports","15","1","25929","","","0","10.1038/s41598-025-11567-w","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105011048840&doi=10.1038%2Fs41598-025-11567-w&partnerID=40&md5=eb8284aeca69a7aa0c0ad5c917d5aceb","Department of Cardiology, Istanbul Mehmet Akif Ersoy Thoracic and Cardiovascular Surgery Training and Research Hospital, Istanbul, Istanbul, Turkey; Department of Cardiology, Gazi University, Faculty of Medicine, Ankara, Turkey; Department of Cardiology, Hopa Public Hospital, Artvin, Turkey; Department of Cardiology, Izmir Bakircay University, Izmir, Izmir, Turkey","Sevinç, Samet, Department of Cardiology, Istanbul Mehmet Akif Ersoy Thoracic and Cardiovascular Surgery Training and Research Hospital, Istanbul, Istanbul, Turkey; Candemir, Mustafa, Department of Cardiology, Gazi University, Faculty of Medicine, Ankara, Turkey; Yamak, Betül Ayça, Department of Cardiology, Hopa Public Hospital, Artvin, Turkey; Kiziltunç, Emrullah, Department of Cardiology, Gazi University, Faculty of Medicine, Ankara, Turkey; Sezenöz, Burak, Department of Cardiology, Gazi University, Faculty of Medicine, Ankara, Turkey; Şahin, Orhan Batur, Department of Cardiology, Gazi University, Faculty of Medicine, Ankara, Turkey; Topal, Salih, Department of Cardiology, Gazi University, Faculty of Medicine, Ankara, Turkey; Demir, Yusuf, Department of Cardiology, Izmir Bakircay University, Izmir, Izmir, Turkey; Yalçin, Mehmet Ridvan, Department of Cardiology, Gazi University, Faculty of Medicine, Ankara, Turkey; Şahinarslan, Asife, Department of Cardiology, Gazi University, Faculty of Medicine, Ankara, Turkey","Accuracy; Artificial intelligence; ChatGPT; Rare cardiovascular disease; Reliability","Nature Research","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-105011048840"
"Ayanwale, M.A.; Idowu, K.O.; Adelana, O.P.; Shosanya, S.O.; Falebita, O.S.; Adewale, K.A.","Ayanwale, Musa Adekunle (57217151943); Idowu, Kabir Oluwatobi (59675300700); Adelana, Owolabi Paul (57890644800); Shosanya, Sideeqoh Oluwaseun (60000851900); Falebita, Oluwanife Segun (58866660700); Adewale, Kayode A. (59718537100)","57217151943; 59675300700; 57890644800; 60000851900; 58866660700; 59718537100","Quantifying teachers’ readiness for artificial intelligence adoption in education: a mathematical modeling perspective","2025","Scientific Reports","15","1","26043","","","1","10.1038/s41598-025-08018-x","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105010889166&doi=10.1038%2Fs41598-025-08018-x&partnerID=40&md5=5c38cc45e1b45580df271e3dcfea86b3","Department of Mathematics Education, University of South Africa, Pretoria, Gauteng, South Africa; Faculty of Science, College of Science, West Lafayette, IN, United States; The Open University, Milton Keynes, Buckinghamshire, United Kingdom; Department of Computer Science, Tai solarin university of Education, Ijebu-Ode, Nigeria; Department of Mathematics, University of Zululand, Ulundi, KwaZulu-Natal, South Africa; Department of Counseling Psychology and Educational Foundations, Tai solarin university of Education, Ijebu-Ode, Nigeria","Ayanwale, Musa Adekunle, Department of Mathematics Education, University of South Africa, Pretoria, Gauteng, South Africa; Idowu, Kabir Oluwatobi, Faculty of Science, College of Science, West Lafayette, IN, United States; Adelana, Owolabi Paul, The Open University, Milton Keynes, Buckinghamshire, United Kingdom; Shosanya, Sideeqoh Oluwaseun, Department of Computer Science, Tai solarin university of Education, Ijebu-Ode, Nigeria; Falebita, Oluwanife Segun, Department of Mathematics, University of Zululand, Ulundi, KwaZulu-Natal, South Africa; Adewale, Kayode A., Department of Counseling Psychology and Educational Foundations, Tai solarin university of Education, Ijebu-Ode, Nigeria","Artificial intelligence in education; Mathematical modeling; SEIR model; Teacher readiness","Nature Research","Article","Final","All Open Access; Gold Open Access; Green Accepted Open Access; Green Open Access","Scopus","2-s2.0-105010889166"
"Zhang, Z.; Qianjun, T.","Zhang, Yan (55955839400); Qianjun, Tang (59998089800)","55955839400; 59998089800","Integrating AI-generated content tools in higher education: a comparative analysis of interdisciplinary learning outcomes","2025","Scientific Reports","15","1","25802","","","3","10.1038/s41598-025-10941-y","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105010731076&doi=10.1038%2Fs41598-025-10941-y&partnerID=40&md5=17b14b598e10f19079a6ce0d8fc553d6","Law and Public Management School, Leshan Teachers College, Leshan, Sichuan, China; School of Education Science, Leshan Teachers College, Leshan, Sichuan, China","Zhang, Yan, Law and Public Management School, Leshan Teachers College, Leshan, Sichuan, China; Qianjun, Tang, School of Education Science, Leshan Teachers College, Leshan, Sichuan, China","AIGC tools; AI–Human collaboration; Digital pedagogy; Educational policy; Higher education; Interdisciplinary learning","Nature Research","Article","Final","All Open Access; Gold Open Access; Green Accepted Open Access; Green Open Access","Scopus","2-s2.0-105010731076"
"Feng, K.; Divya, D.","Feng, Kaihong (59987977000); Divya, Haridas Airattil (56999161800)","59987977000; 56999161800","A unified model integrating UTAUT-Behavioural intension and Object-Oriented approaches for sustainable adoption of Cloud-Based collaborative platforms in higher education","2025","Scientific Reports","15","1","24767","","","0","10.1038/s41598-025-08446-9","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105010474959&doi=10.1038%2Fs41598-025-08446-9&partnerID=40&md5=73079bc3cb81d62a66ffb9c36ac7948e","School of Information Science and Technology, Universiti Kebangsaan Malaysia, Bangi, Selangor, Malaysia; Saveetha School of Engineering, Chennai, TN, India","Feng, Kaihong, School of Information Science and Technology, Universiti Kebangsaan Malaysia, Bangi, Selangor, Malaysia; Divya, Haridas Airattil, Saveetha School of Engineering, Chennai, TN, India","Artificial intelligence; Cloud based collaborative platforms; Object oriented model; UTAUT","Nature Research","Article","Final","All Open Access; Gold Open Access; Green Accepted Open Access; Green Open Access","Scopus","2-s2.0-105010474959"
